_id;album;musica;compositor;genero
1;For Those About To Rock We Salute You;For Those About To Rock (We Salute You);Angus Young, Malcolm Young, Brian Johnson;Rock
2;Balls to the Wall;Balls to the Wall;;Rock
3;Restless and Wild;Fast As a Shark;F. Baltes, S. Kaufman, U. Dirkscneider & W. Hoffman;Rock
4;Restless and Wild;Restless and Wild;F. Baltes, R.A. Smith-Diesel, S. Kaufman, U. Dirkscneider & W. Hoffman;Rock
5;Restless and Wild;Princess of the Dawn;Deaffy & R.A. Smith-Diesel;Rock
6;For Those About To Rock We Salute You;Put The Finger On You;Angus Young, Malcolm Young, Brian Johnson;Rock
7;For Those About To Rock We Salute You;Let's Get It Up;Angus Young, Malcolm Young, Brian Johnson;Rock
8;For Those About To Rock We Salute You;Inject The Venom;Angus Young, Malcolm Young, Brian Johnson;Rock
9;For Those About To Rock We Salute You;Snowballed;Angus Young, Malcolm Young, Brian Johnson;Rock
10;For Those About To Rock We Salute You;Evil Walks;Angus Young, Malcolm Young, Brian Johnson;Rock
11;For Those About To Rock We Salute You;C.O.D.;Angus Young, Malcolm Young, Brian Johnson;Rock
12;For Those About To Rock We Salute You;Breaking The Rules;Angus Young, Malcolm Young, Brian Johnson;Rock
13;For Those About To Rock We Salute You;Night Of The Long Knives;Angus Young, Malcolm Young, Brian Johnson;Rock
14;For Those About To Rock We Salute You;Spellbound;Angus Young, Malcolm Young, Brian Johnson;Rock
15;Let There Be Rock;Go Down;AC/DC;Rock
16;Let There Be Rock;Dog Eat Dog;AC/DC;Rock
17;Let There Be Rock;Let There Be Rock;AC/DC;Rock
18;Let There Be Rock;Bad Boy Boogie;AC/DC;Rock
19;Let There Be Rock;Problem Child;AC/DC;Rock
20;Let There Be Rock;Overdose;AC/DC;Rock
21;Let There Be Rock;Hell Ain't A Bad Place To Be;AC/DC;Rock
22;Let There Be Rock;Whole Lotta Rosie;AC/DC;Rock
23;Big Ones;Walk On Water;Steven Tyler, Joe Perry, Jack Blades, Tommy Shaw;Rock
24;Big Ones;Love In An Elevator;Steven Tyler, Joe Perry;Rock
25;Big Ones;Rag Doll;Steven Tyler, Joe Perry, Jim Vallance, Holly Knight;Rock
26;Big Ones;What It Takes;Steven Tyler, Joe Perry, Desmond Child;Rock
27;Big Ones;Dude (Looks Like A Lady);Steven Tyler, Joe Perry, Desmond Child;Rock
28;Big Ones;Janie's Got A Gun;Steven Tyler, Tom Hamilton;Rock
29;Big Ones;Cryin';Steven Tyler, Joe Perry, Taylor Rhodes;Rock
30;Big Ones;Amazing;Steven Tyler, Richie Supa;Rock
31;Big Ones;Blind Man;Steven Tyler, Joe Perry, Taylor Rhodes;Rock
32;Big Ones;Deuces Are Wild;Steven Tyler, Jim Vallance;Rock
33;Big Ones;The Other Side;Steven Tyler, Jim Vallance;Rock
34;Big Ones;Crazy;Steven Tyler, Joe Perry, Desmond Child;Rock
35;Big Ones;Eat The Rich;Steven Tyler, Joe Perry, Jim Vallance;Rock
36;Big Ones;Angel;Steven Tyler, Desmond Child;Rock
37;Big Ones;Livin' On The Edge;Steven Tyler, Joe Perry, Mark Hudson;Rock
38;Jagged Little Pill;All I Really Want;Alanis Morissette & Glenn Ballard;Rock
39;Jagged Little Pill;You Oughta Know;Alanis Morissette & Glenn Ballard;Rock
40;Jagged Little Pill;Perfect;Alanis Morissette & Glenn Ballard;Rock
41;Jagged Little Pill;Hand In My Pocket;Alanis Morissette & Glenn Ballard;Rock
42;Jagged Little Pill;Right Through You;Alanis Morissette & Glenn Ballard;Rock
43;Jagged Little Pill;Forgiven;Alanis Morissette & Glenn Ballard;Rock
44;Jagged Little Pill;You Learn;Alanis Morissette & Glenn Ballard;Rock
45;Jagged Little Pill;Head Over Feet;Alanis Morissette & Glenn Ballard;Rock
46;Jagged Little Pill;Mary Jane;Alanis Morissette & Glenn Ballard;Rock
47;Jagged Little Pill;Ironic;Alanis Morissette & Glenn Ballard;Rock
48;Jagged Little Pill;Not The Doctor;Alanis Morissette & Glenn Ballard;Rock
49;Jagged Little Pill;Wake Up;Alanis Morissette & Glenn Ballard;Rock
50;Jagged Little Pill;You Oughta Know (Alternate);Alanis Morissette & Glenn Ballard;Rock
51;Facelift;We Die Young;Jerry Cantrell;Rock
52;Facelift;Man In The Box;Jerry Cantrell, Layne Staley;Rock
53;Facelift;Sea Of Sorrow;Jerry Cantrell;Rock
54;Facelift;Bleed The Freak;Jerry Cantrell;Rock
55;Facelift;I Can't Remember;Jerry Cantrell, Layne Staley;Rock
56;Facelift;Love, Hate, Love;Jerry Cantrell, Layne Staley;Rock
57;Facelift;It Ain't Like That;Jerry Cantrell, Michael Starr, Sean Kinney;Rock
58;Facelift;Sunshine;Jerry Cantrell;Rock
59;Facelift;Put You Down;Jerry Cantrell;Rock
60;Facelift;Confusion;Jerry Cantrell, Michael Starr, Layne Staley;Rock
61;Facelift;I Know Somethin (Bout You);Jerry Cantrell;Rock
62;Facelift;Real Thing;Jerry Cantrell, Layne Staley;Rock
85;Audioslave;Cochise;Audioslave/Chris Cornell;Rock
86;Audioslave;Show Me How to Live;Audioslave/Chris Cornell;Rock
87;Audioslave;Gasoline;Audioslave/Chris Cornell;Rock
88;Audioslave;What You Are;Audioslave/Chris Cornell;Rock
89;Audioslave;Like a Stone;Audioslave/Chris Cornell;Rock
90;Audioslave;Set It Off;Audioslave/Chris Cornell;Rock
91;Audioslave;Shadow on the Sun;Audioslave/Chris Cornell;Rock
92;Audioslave;I am the Highway;Audioslave/Chris Cornell;Rock
93;Audioslave;Exploder;Audioslave/Chris Cornell;Rock
94;Audioslave;Hypnotize;Audioslave/Chris Cornell;Rock
95;Audioslave;Bring'em Back Alive;Audioslave/Chris Cornell;Rock
96;Audioslave;Light My Way;Audioslave/Chris Cornell;Rock
97;Audioslave;Getaway Car;Audioslave/Chris Cornell;Rock
98;Audioslave;The Last Remaining Light;Audioslave/Chris Cornell;Rock
337;BBC Sessions [Disc 1] [Live];You Shook Me;J B Lenoir/Willie Dixon;Rock
338;BBC Sessions [Disc 1] [Live];I Can't Quit You Baby;Willie Dixon;Rock
339;BBC Sessions [Disc 1] [Live];Communication Breakdown;Jimmy Page/John Bonham/John Paul Jones;Rock
340;BBC Sessions [Disc 1] [Live];Dazed and Confused;Jimmy Page;Rock
341;BBC Sessions [Disc 1] [Live];The Girl I Love She Got Long Black Wavy Hair;Jimmy Page/John Bonham/John Estes/John Paul Jones/Robert Plant;Rock
342;BBC Sessions [Disc 1] [Live];What is and Should Never Be;Jimmy Page/Robert Plant;Rock
343;BBC Sessions [Disc 1] [Live];Communication Breakdown(2);Jimmy Page/John Bonham/John Paul Jones;Rock
344;BBC Sessions [Disc 1] [Live];Travelling Riverside Blues;Jimmy Page/Robert Johnson/Robert Plant;Rock
345;BBC Sessions [Disc 1] [Live];Whole Lotta Love;Jimmy Page/John Bonham/John Paul Jones/Robert Plant/Willie Dixon;Rock
346;BBC Sessions [Disc 1] [Live];Somethin' Else;Bob Cochran/Sharon Sheeley;Rock
347;BBC Sessions [Disc 1] [Live];Communication Breakdown(3);Jimmy Page/John Bonham/John Paul Jones;Rock
348;BBC Sessions [Disc 1] [Live];I Can't Quit You Baby(2);Willie Dixon;Rock
349;BBC Sessions [Disc 1] [Live];You Shook Me(2);J B Lenoir/Willie Dixon;Rock
350;BBC Sessions [Disc 1] [Live];How Many More Times;Chester Burnett/Jimmy Page/John Bonham/John Paul Jones/Robert Plant;Rock
351;Bongo Fury;Debra Kadabra;Frank Zappa;Rock
352;Bongo Fury;Carolina Hard-Core Ecstasy;Frank Zappa;Rock
353;Bongo Fury;Sam With The Showing Scalp Flat Top;Don Van Vliet;Rock
354;Bongo Fury;Poofter's Froth Wyoming Plans Ahead;Frank Zappa;Rock
355;Bongo Fury;200 Years Old;Frank Zappa;Rock
356;Bongo Fury;Cucamonga;Frank Zappa;Rock
357;Bongo Fury;Advance Romance;Frank Zappa;Rock
358;Bongo Fury;Man With The Woman Head;Don Van Vliet;Rock
359;Bongo Fury;Muffin Man;Frank Zappa;Rock
419;Greatest Hits II;A Kind Of Magic;Roger Taylor;Rock
420;Greatest Hits II;Under Pressure;Queen & David Bowie;Rock
421;Greatest Hits II;Radio GA GA;Roger Taylor;Rock
422;Greatest Hits II;I Want It All;Queen;Rock
423;Greatest Hits II;I Want To Break Free;John Deacon;Rock
424;Greatest Hits II;Innuendo;Queen;Rock
